temperature,pressure,humidity,gas,aqi,time_stamp_esp,time_stamp_server
19.93,1011,65.19,36,287,114.94,2026-01-26T17:46:54.675077194Z
19.9,1011,65.35,35,296,110.57,2026-01-26T17:47:02.857187652Z
19.87,1011,65.47,34,305,111.35,2026-01-26T17:47:09.676090267Z
19.85,1011,65.41,35,309,107.47,2026-01-26T17:47:11.420445807Z
19.85,1011,65.31,36,313,110.57,2026-01-26T17:47:17.747659606Z
19.84,1011,65.34,36,319,112.94,2026-01-26T17:47:27.677221177Z
19.81,1011,65.55,35,329,113.73,2026-01-26T17:47:36.665262057Z
19.79,1011,65.7,34,338,112.54,2026-01-26T17:47:45.667000763Z
19.76,1011,65.83,34,347,111.74,2026-01-26T17:47:49.196662539Z
19.75,1011,65.77,34,351,112.94,2026-01-26T17:47:54.749693132Z
19.74,1011,65.78,35,358,112.54,2026-01-26T17:48:02.847655396Z
19.71,1011,65.89,35,371,115.35,2026-01-26T17:48:15.669165922Z
19.7,1011,65.89,35,376,113.73,2026-01-26T17:48:19.807377901Z
19.69,1011,65.96,35,382,113.33,2026-01-26T17:48:30.168534955Z
19.67,1011,66.11,35,391,116.98,2026-01-26T17:48:36.171186729Z
19.66,1011,66.13,35,398,116.16,2026-01-26T17:48:42.671067314Z
19.66,1011,66.07,36,402,112.54,2026-01-26T17:48:44.390159859Z
19.66,1011,66.01,37,406,112.94,2026-01-26T17:48:48.67362355Z
19.66,1011,65.99,37,411,112.54,2026-01-26T17:48:56.6688601Z
19.65,1011,66.06,37,418,114.54,2026-01-26T17:49:05.663461594Z
19.63,1011,66.26,36,427,114.94,2026-01-26T17:49:15.171998588Z
19.61,1011,66.41,35,436,111.35,2026-01-26T17:49:21.236153865Z
19.59,1011,66.43,35,443,112.14,2026-01-26T17:49:28.185090556Z
19.58,1011,66.35,36,447,110.96,2026-01-26T17:49:32.871867998Z
19.57,1011,66.4,35,461,112.14,2026-01-26T17:49:46.292391949Z
19.57,1011,66.34,36,466,114.14,2026-01-26T17:49:53.664048601Z
19.55,1011,66.48,35,475,112.54,2026-01-26T17:50:02.664662701Z
19.54,1011,66.57,35,482,113.33,2026-01-26T17:50:07.233072534Z
19.53,1011,66.61,35,489,113.73,2026-01-26T17:50:15.169808408Z
19.51,1011,66.67,35,496,114.14,2026-01-26T17:50:21.677682838Z
19.51,1011,66.7,35,503,111.35,2026-01-26T17:50:28.179074787Z
19.5,1011,66.74,35,509,110.57,2026-01-26T17:50:37.668059052Z
19.49,1011,66.89,34,519,112.94,2026-01-26T17:50:43.732133985Z
19.48,1011,66.87,34,525,112.14,2026-01-26T17:50:50.769741225Z
19.46,1011,66.94,34,541,112.14,2026-01-26T17:51:09.188909517Z
19.43,1011,67.02,35,601,114.14,2026-01-26T17:52:06.262555139Z
19.42,1011,67.05,35,608,116.57,2026-01-26T17:52:10.764193696Z
19.42,1011,67.03,36,613,116.98,2026-01-26T17:52:18.172530656Z
19.42,1011,67.03,36,619,112.94,2026-01-26T17:52:24.67693026Z
19.42,1011,67.09,36,626,114.94,2026-01-26T17:52:31.16889874Z
19.4,1011,67.25,35,641,113.73,2026-01-26T17:52:49.674762474Z
19.39,1011,67.29,35,649,113.33,2026-01-26T17:52:54.17987146Z
19.38,1011,67.26,35,655,114.54,2026-01-26T17:53:00.171679798Z
19.38,1011,67.24,35,661,116.98,2026-01-26T17:53:09.664682909Z
19.36,1011,67.35,35,677,112.94,2026-01-26T17:53:22.190913275Z
19.37,1011,67.27,36,682,114.14,2026-01-26T17:53:27.237772983Z
19.36,1011,67.31,35,689,113.73,2026-01-26T17:53:34.241821084Z
19.36,1011,67.37,35,696,111.74,2026-01-26T17:53:41.180069277Z
19.36,1011,67.33,36,700,114.94,2026-01-26T17:53:42.967267374Z
19.39,1011,67.21,38,709,114.54,2026-01-26T17:53:53.671272504Z
19.39,1011,67.18,39,713,112.54,2026-01-26T17:53:58.271516525Z
19.39,1011,67.28,38,720,111.35,2026-01-26T17:54:02.84368254Z
19.39,1011,67.29,38,725,109.01,2026-01-26T17:54:08.186003538Z
19.34,1011,67.58,37,763,112.14,2026-01-26T17:54:53.163222291Z
19.32,1011,67.79,36,774,112.14,2026-01-26T17:55:00.666867288Z
19.31,1011,67.75,36,780,111.74,2026-01-26T17:55:02.848421936Z
